Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112052330831,LO_2021_03_16,,FALSE,964 P382m,Morocco since 1830 : a history /,"Pennell, C. R.","New York : New York University Press, 2000.",99434127412205899
30112123086321,LO_2021_03_16,,FALSE,Q. Z106.5.J3 B66 2016,A book of fans = Ōgi no sōshi : fascimile of an illustrated collection of old Japanese poems /,"Honcoopová, Helena,","Prague : Charles University in Prague, Karolinum Press, 2016.",99841377312205899
30112063766460,LO_2021_03_16,,FALSE,947.56 T27s,The state of the Republic of Armenia /,"Ter-Petrossian, Leron.","Washington, DC : Office of Research and Analysis, Armenian Assembly of America, c1994.",99454806212205899
30112120535445,LO_2021_03_16,,FALSE,320.968 R531,The road to democracy in South Africa.,South African Democracy Education Trust.,"Cape Town : Zebra Press, 2004-<c2010>",99494800512205899
30112044442868,DS_2021_03_16,DIY,TRUE,543.0858 D36h,Hydride generation atomic absorption spectrometry /,"Dedina, Jirí.","Chichester [England] ; New York : Wiley, c1995.",99373386912205899
30112124316818,DS_2021_03_16,,FALSE,BF692.5 .P59 2019,For the love of men : a new vision for mindful masculinity /,"Plank, Liz,","New York : St. Martin's Press, 2019.",99915716912205899
30112013436032,LO_2021_03_25,,FALSE,PN1998.3.B475 R8 1993,Showstoppers : Busby Berkeley and the tradition of spectacle /,"Rubin, Martin,","New York : Columbia University Press, ©1993.",99351081912205899
30112096470767,DS_2021_03_16,DIY,TRUE,B132.A3 A74155 2012,Ashṭāvakra gītā /,"Bhaṭanāgara, Kshamā.","Naī Dillī : Rāshtriya Hindī Sāhitya Parishada, 2012",99729091512205899
30112030643933,DS_2021_03_16,DIY,TRUE,PK2077 .H271983,Hastākshara /,"Śarmā, Śamīma,","Kurukshetra, Hariyāṇā : Hastākshara, 1982.",99130578512205899
30112030644691,DS_2021_03_16,Epson Flatbed,FALSE,PK2077 .P871987,Puraskr̥ta kahāniyāṃ /,"Mudgala, Citrā,","Gājiyābāda : Santosha Prakāśana, 1987.",99376872812205899
30112001333530,DS_2021_03_16,DIY,TRUE,335.8 Z362H,The Haymarket riot.,"Zeisler, Ernest Bloomfield,","Chicago : AJ Isaacs, [1956]",99107940512205899
30112060621338,DS_2021_03_16,DIY,TRUE,793.319498 B634r,Romanian folk dancing /,"Bogolia, Kathleen M.","[West Lafayette, Ind.] : Purdue University, Dept of Education, c1977.",99464257012205899
30112015527721,DS_2021_03_16,BC100,TRUE,M786.3 H32C,"The child Haydn,","Coit, Lottie Ellsworth,","Phila : T Presser Co, 1944.",99305020912205899
30112086924138,DS_2021_03_16,DIY,TRUE,726.5095126 G945m,Macao's Church of Saint Paul : a glimmer of the baroque in China /,"Guillen-Nuñez, Cesar.",Hong Kong : Hong Kong University Press ©2009.,99580750912205899
30112118989380,DS_2021_03_16,,FALSE,880 D288a,The Aethiopis : neo-neoanalysis reanalyzed /,"Davies, Malcolm,","Washington, D.C. : Center for Hellenic Studies, 2016.",99816974412205899
30112120647521,DS_2021_03_16,,FALSE,PN1993.5.S7 I435 2016,"Imágenes resistentes : temáticas, narrativas y estéticas del otro cine español /","Cobo Durán, Sergio.","Sevilla : Ayuntamiento de Sevilla, 2016.",99832423412205899
30112123136118,DS_2021_03_16,DIY,TRUE,ML1380 .W37L5 2017,Live wires : a history of electronic music /,"Warner, Daniel,","London : Reaktion Books Ltd, 2017.",99845970312205899
30112059839305,DS_2021_03_16,,TRUE,ML651 I57D4 2004,"De clavicordio VI : proceedings of the VI International Clavichord Symposium = atti del VI Congresso Internazionale sul Clavicordo : Magnano, 10-13 September 2003 /","International Clavichord Symposium 2003 : Magnano, Italy)","Magnano [Italy] : Musica antica a Magnano, c2004.",99529334912205899
30112104002537,LO_2021_03_17,,FALSE,779.36 M223d,Designs on the land : exploring America from the air /,"MacLean, Alex S.","New York : Thames & Hudson, 2003.",99471633812205899
